[1008/151729.917:INFO:CONSOLE(21172)] "THREE.WebGLRenderer 92", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/build/three.js (21172)
[1008/151730.378:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/libs/ColladaLoader.js (3660)
[1008/151730.440:INFO:CONSOLE(255)] "Loaded: file:C:/Users/Usuario/Desktop/PROYECTO DE GRADO/PROYECTO ANYLOGIC/Modelo-simulacion-delitos-/3d/person.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/init.js (255)
[1008/151730.440:INFO:CONSOLE(271)] "load end: file:C:/Users/Usuario/Desktop/PROYECTO DE GRADO/PROYECTO ANYLOGIC/Modelo-simulacion-delitos-/3d/person.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/init.js (271)
[1008/151730.617:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/libs/ColladaLoader.js (3660)
[1008/151730.644:INFO:CONSOLE(255)] "Loaded: file:C:/Users/Usuario/Desktop/PROYECTO DE GRADO/PROYECTO ANYLOGIC/Modelo-simulacion-delitos-/3d/motorcycle.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/init.js (255)
[1008/151730.645:INFO:CONSOLE(271)] "load end: file:C:/Users/Usuario/Desktop/PROYECTO DE GRADO/PROYECTO ANYLOGIC/Modelo-simulacion-delitos-/3d/motorcycle.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/init.js (271)
[1008/151730.708:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/libs/ColladaLoader.js (3660)
[1008/151730.738:INFO:CONSOLE(255)] "Loaded: file:C:/Users/Usuario/Desktop/PROYECTO DE GRADO/PROYECTO ANYLOGIC/Modelo-simulacion-delitos-/3d/rider_position_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/init.js (255)
[1008/151730.738:INFO:CONSOLE(271)] "load end: file:C:/Users/Usuario/Desktop/PROYECTO DE GRADO/PROYECTO ANYLOGIC/Modelo-simulacion-delitos-/3d/rider_position_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.1.202408021042/static/init.js (271)
[1008/151921.151:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
